
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.19     0.00    -0.01    -0.00     0.03     0.00     1.00    -1.00    -0.01    -0.00    -0.06    -0.00   -30.98     0.00
     0.00 -1000.00     0.00    -0.19     0.00     0.01    -0.00    -0.03     0.00     1.00    -1.00     0.01    -0.00     0.06    -0.00    30.89     0.00
     0.00     0.00  1000.00     0.00     0.19     0.00     0.01     0.00     0.03     1.00    -1.00     0.00    -0.01    -0.00     0.06    -0.00   -30.98
     0.00     0.00 -1000.00     0.00    -0.19    -0.00    -0.01    -0.00    -0.03     1.00    -1.00    -0.00     0.01    -0.00    -0.06    -0.00    30.89
     5.00  1000.00     0.00     0.34     0.15    -0.04     0.02     5.05     5.02     1.07    -1.07     0.08     0.09    -0.06     0.00   -30.81    -0.00
     5.00 -1000.00     0.00    -0.03     0.15    -0.01     0.02     4.99     5.02     1.07    -1.07     0.11     0.09     0.05     0.00    30.71     0.00
     5.00     0.00  1000.00     0.15     0.34    -0.02     0.04     5.02     5.05     1.07    -1.07     0.09     0.08    -0.00     0.06    -0.00   -30.81
     5.00     0.00 -1000.00     0.15    -0.03    -0.02     0.01     5.02     4.99     1.07    -1.07     0.09     0.11    -0.00    -0.05     0.00    30.71
    10.00  1000.00     0.00     0.49     0.31    -0.14     0.12    10.07    10.03     1.15    -1.15     0.17     0.18    -0.06     0.00   -30.64     0.00
    10.00 -1000.00     0.00     0.12     0.31    -0.11     0.12    10.00    10.03     1.15    -1.15     0.20     0.18     0.05     0.00    30.52    -0.00
    10.00     0.00  1000.00     0.31     0.49    -0.12     0.14    10.03    10.07     1.15    -1.15     0.18     0.17    -0.00     0.06    -0.00   -30.64
    10.00     0.00 -1000.00     0.31     0.12    -0.12     0.11    10.03    10.00     1.15    -1.15     0.18     0.20    -0.00    -0.05     0.00    30.52
    15.00  1000.00     0.00     0.65     0.46    -0.31     0.30    15.08    15.05     1.24    -1.24     0.26     0.28    -0.06     0.00   -30.46     0.00
    15.00 -1000.00     0.00     0.27     0.46    -0.28     0.30    15.02    15.05     1.24    -1.24     0.29     0.28     0.05     0.00    30.34     0.00
    15.00     0.00  1000.00     0.46     0.65    -0.30     0.31    15.05    15.08     1.24    -1.24     0.28     0.26    -0.00     0.06    -0.00   -30.46
    15.00     0.00 -1000.00     0.46     0.27    -0.30     0.28    15.05    15.02     1.24    -1.24     0.28     0.29    -0.00    -0.05     0.00    30.34
    20.00  1000.00     0.00     0.80     0.61    -0.56     0.55    20.11    20.07     1.34    -1.34     0.35     0.37    -0.06    -0.00   -30.28     0.00
    20.00 -1000.00     0.00     0.42     0.61    -0.53     0.55    20.04    20.07     1.34    -1.34     0.39     0.37     0.06    -0.00    30.14     0.00
    20.00     0.00  1000.00     0.61     0.80    -0.55     0.56    20.07    20.11     1.34    -1.34     0.37     0.35     0.00     0.06    -0.00   -30.28
    20.00     0.00 -1000.00     0.61     0.42    -0.55     0.53    20.07    20.04     1.34    -1.34     0.37     0.39     0.00    -0.06     0.00    30.14
    25.00  1000.00     0.00     0.95     0.76    -0.89     0.88    25.13    25.10     1.44    -1.45     0.45     0.47    -0.05    -0.00   -30.09     0.00
    25.00 -1000.00     0.00     0.57     0.76    -0.86     0.88    25.07    25.10     1.45    -1.45     0.48     0.47     0.06    -0.00    29.95    -0.00
    25.00     0.00  1000.00     0.76     0.95    -0.88     0.89    25.10    25.13     1.45    -1.44     0.47     0.45     0.00     0.05    -0.00   -30.09
