
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.01     0.00     0.02    -0.00     0.00     0.00     1.00    -1.00     0.00    -0.00     0.01    -0.00    -2.87     0.00
     0.00 -1000.00     0.00     0.01     0.00    -0.02    -0.00    -0.00     0.00     1.00    -1.00    -0.00    -0.00    -0.01    -0.00     2.89    -0.00
     0.00     0.00  1000.00     0.00     0.01    -0.00     0.02    -0.00    -0.00     1.00    -1.00     0.00    -0.00    -0.00     0.01     0.00     2.89
     0.00     0.00 -1000.00     0.00    -0.01    -0.00    -0.02    -0.00     0.00     1.00    -1.00    -0.00     0.00    -0.00    -0.01     0.00    -2.87
     5.00  1000.00     0.00     0.14     0.15    -0.00     0.02     5.00     5.02     1.07    -1.07     0.09     0.09     0.01     0.00    12.32     0.00
     5.00 -1000.00     0.00     0.17     0.15    -0.05     0.02     5.03     5.02     1.07    -1.07     0.09     0.09    -0.01     0.00   -12.40     0.00
     5.00     0.00  1000.00     0.15     0.17    -0.02     0.05     5.02     5.03     1.07    -1.07     0.09     0.09    -0.00     0.01     0.00   -12.40
     5.00     0.00 -1000.00     0.15     0.14    -0.02     0.00     5.02     5.00     1.07    -1.07     0.09     0.09    -0.00    -0.01     0.00    12.32
    10.00  1000.00     0.00     0.29     0.31    -0.10     0.12    10.01    10.03     1.15    -1.15     0.18     0.18     0.01     0.00    27.47     0.00
    10.00 -1000.00     0.00     0.32     0.31    -0.15     0.12    10.06    10.03     1.15    -1.15     0.18     0.18    -0.02     0.00   -27.64     0.00
    10.00     0.00  1000.00     0.31     0.32    -0.12     0.15    10.03    10.06     1.15    -1.15     0.18     0.18    -0.00     0.02     0.00   -27.64
    10.00     0.00 -1000.00     0.31     0.29    -0.12     0.10    10.03    10.01     1.15    -1.15     0.18     0.18    -0.00    -0.01    -0.00    27.47
    15.00  1000.00     0.00     0.44     0.46    -0.27     0.30    15.01    15.05     1.24    -1.24     0.28     0.28     0.01     0.00    42.57     0.00
    15.00 -1000.00     0.00     0.47     0.46    -0.32     0.30    15.10    15.05     1.24    -1.24     0.28     0.28    -0.01     0.00   -42.85     0.00
    15.00     0.00  1000.00     0.46     0.47    -0.30     0.32    15.05    15.10     1.24    -1.24     0.28     0.28    -0.00     0.01     0.00   -42.85
    15.00     0.00 -1000.00     0.46     0.44    -0.30     0.27    15.05    15.01     1.24    -1.24     0.28     0.28    -0.00    -0.01     0.00    42.57
    20.00  1000.00     0.00     0.60     0.61    -0.52     0.55    20.01    20.07     1.34    -1.34     0.37     0.37     0.01    -0.00    57.65     0.00
    20.00 -1000.00     0.00     0.62     0.61    -0.58     0.55    20.13    20.07     1.34    -1.34     0.37     0.37    -0.01    -0.00   -58.02     0.00
    20.00     0.00  1000.00     0.61     0.62    -0.55     0.58    20.07    20.13     1.34    -1.34     0.37     0.37     0.00     0.01     0.00   -58.02
    20.00     0.00 -1000.00     0.61     0.60    -0.55     0.52    20.07    20.01     1.34    -1.34     0.37     0.37     0.00    -0.01     0.00    57.65
    25.00  1000.00     0.00     0.75     0.76    -0.85     0.88    25.02    25.10     1.44    -1.45     0.46     0.47     0.02    -0.00    72.72     0.00
    25.00 -1000.00     0.00     0.78     0.76    -0.90     0.88    25.17    25.10     1.45    -1.45     0.47     0.47    -0.01    -0.00   -73.18     0.00
    25.00     0.00  1000.00     0.76     0.78    -0.88     0.90    25.10    25.17     1.45    -1.45     0.47     0.47     0.00     0.01     0.00   -73.18
