
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -1.00     0.00    -0.00    -0.00    28.40    28.40      NaN      NaN    20.54     5.50   -15.96    -6.00
     5.00     0.14    -1.07     0.45    -0.15     0.00    28.26    23.27     0.00   -14.99    20.54     5.57   -16.28    -6.09
    10.00     0.19    -1.15     0.81    -0.31     0.00    28.13    18.15     0.00   -14.57    20.54     5.65   -16.60    -6.19
    15.00     0.13    -1.24     1.09    -0.46     0.00    28.01    13.05     0.00   -14.14    20.54     5.74   -16.92    -6.28
    20.00    -0.03    -1.34     1.27    -0.61     0.00    27.91     7.96     0.00   -13.69    20.54     5.84   -17.25    -6.38
    25.00    -0.30    -1.45     1.37    -0.76     0.00    27.83     2.89     0.00   -13.23    20.54     5.95   -17.58    -6.47
    30.00    -0.67    -1.56     1.37    -0.91    -0.00    27.77    -2.16     0.00   -12.74    20.55     6.06   -17.91    -6.57
    35.00    -1.14    -1.69     1.29    -1.06    -0.00    27.72    -7.18     0.00   -12.24    20.55     6.19   -18.24    -6.67
    40.00    -1.71    -1.82     1.13    -1.20    -0.00    27.70   -12.19     0.00   -11.72    20.55     6.32   -18.57    -6.77
     0.00     0.00    -1.00     0.00    -0.00    -0.00    28.40    28.40      NaN      NaN    20.54     5.50   -15.96    -6.00
    -5.00    -0.24    -0.94    -0.54     0.15     0.00    28.56    33.55     0.00   -15.78    20.54     5.44   -15.64    -5.91
   -10.00    -0.59    -0.88    -1.17     0.31     0.00    28.73    38.72     0.00   -16.16    20.54     5.38   -15.33    -5.82
   -15.00    -1.03    -0.84    -1.90     0.47     0.00    28.91    43.89     0.00   -16.52    20.54     5.34   -15.01    -5.73
   -20.00    -1.56    -0.80    -2.71     0.62     0.00    29.10    49.07     0.00   -16.87    20.54     5.30   -14.70    -5.64
   -25.00    -2.20    -0.78    -3.62     0.78     0.00    29.30    54.26     0.00   -17.21    20.54     5.27   -14.40    -5.55
   -30.00    -2.92    -0.76    -4.62     0.94     0.00    29.50    59.46     0.00   -17.54    20.54     5.25   -14.09    -5.47
   -35.00    -3.74    -0.75    -5.72     1.10     0.00    29.71    64.66     0.00   -17.86    20.54     5.24   -13.79    -5.38
   -40.00    -4.64    -0.75    -6.90     1.26     0.00    29.92    69.87     0.00   -18.17    20.55     5.24   -13.49    -5.30
