
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00    -0.00     0.00    -1.00    20.54     0.00     0.00    -0.00    -0.00     0.00     0.00    85.10 ******** ********
     0.00    10.00    -6.40    -6.35    -0.30    20.50    -0.75    -5.89    -0.46     0.05    -0.51   -10.38    78.90    27.85    28.84
     0.00    20.00   -12.93   -12.74     0.48    20.47    -3.01   -11.03    -1.71     0.19    -1.90   -11.12    72.79    13.90    15.01
     0.00    30.00   -19.67   -19.25     1.34    20.44    -6.79   -15.66    -3.59     0.42    -4.01   -11.72    66.68     9.25    10.47
     0.00    40.00   -26.71   -25.99     2.29    20.41   -12.10   -19.97    -6.02     0.73    -6.75   -12.09    60.51     6.94     8.25
     0.00    50.00   -34.21   -33.13     3.34    20.38   -18.98   -24.17    -8.96     1.08   -10.04   -12.04    54.19     5.56     6.95
     0.00    60.00   -42.33   -40.93     4.51    20.37   -27.54   -28.48   -12.46     1.39   -13.85   -11.17    47.60     4.64     6.11
     0.00    70.00   -51.38   -49.96     5.81    20.37   -38.08   -33.27   -16.69     1.42   -18.11    -8.52    40.53     4.01     5.52
     0.00     0.00    -0.00     0.00    -1.00    20.54     0.00     0.00    -0.00    -0.00     0.00     0.00    85.10 ******** ********
     0.00   -10.00     6.35     6.40    -1.62    20.58    -0.75     5.89     0.46    -0.05     0.51   -10.38    91.44    27.85    28.84
     0.00   -20.00    12.74    12.93    -2.17    20.62    -3.01    11.03     1.71    -0.19     1.90   -11.12    98.00    13.90    15.01
     0.00   -30.00    19.25    19.67    -2.65    20.66    -6.79    15.66     3.59    -0.42     4.01   -11.72   104.88     9.25    10.47
     0.00   -40.00    25.99    26.71    -3.04    20.72   -12.10    19.97     6.02    -0.73     6.75   -12.09   112.20     6.94     8.25
     0.00   -50.00    33.13    34.21    -3.34    20.78   -18.98    24.17     8.96    -1.08    10.04   -12.04   120.17     5.56     6.95
