
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.00     0.00    -0.00    -0.00     0.03     0.00     1.02    -1.00    -0.00    -0.00     0.00    -0.00   -23.42     0.00
     0.00  -100.00     0.00     0.00     0.00    -0.00    -0.00    -0.03     0.00     0.98    -1.00     0.00    -0.00    -0.00    -0.00    23.42    -0.00
     0.00     0.00   100.00     0.00     0.00    -0.00     0.00    -0.00    -0.03     1.00    -0.98    -0.00     0.00    -0.00     0.00    -0.00    23.42
     0.00     0.00  -100.00     0.00    -0.00    -0.00     0.00    -0.00     0.03     1.00    -1.02    -0.00    -0.00    -0.00    -0.00     0.00   -23.42
     5.00   100.00     0.00     0.15     0.15    -0.02     0.02     5.05     5.02     1.09    -1.07     0.09     0.09     0.00     0.00   -26.53     0.00
     5.00  -100.00     0.00     0.16     0.15    -0.02     0.02     4.98     5.02     1.05    -1.07     0.09     0.09    -0.01     0.00    26.53     0.00
     5.00     0.00   100.00     0.15     0.16    -0.02     0.02     5.02     4.98     1.07    -1.05     0.09     0.09    -0.00     0.01    -0.00    26.53
     5.00     0.00  -100.00     0.15     0.15    -0.02     0.02     5.02     5.05     1.07    -1.09     0.09     0.09    -0.00    -0.00    -0.00   -26.53
    10.00   100.00     0.00     0.30     0.31    -0.12     0.12    10.07    10.03     1.17    -1.15     0.18     0.18    -0.00     0.00   -29.63     0.00
    10.00  -100.00     0.00     0.31     0.31    -0.12     0.12    10.00    10.03     1.13    -1.15     0.18     0.18    -0.01     0.00    29.62    -0.00
    10.00     0.00   100.00     0.31     0.31    -0.12     0.12    10.03    10.00     1.15    -1.13     0.18     0.18    -0.00     0.01     0.00    29.62
    10.00     0.00  -100.00     0.31     0.30    -0.12     0.12    10.03    10.07     1.15    -1.17     0.18     0.18    -0.00     0.00     0.00   -29.63
    15.00   100.00     0.00     0.45     0.46    -0.30     0.30    15.09    15.05     1.26    -1.24     0.28     0.28     0.00     0.00   -32.73     0.00
    15.00  -100.00     0.00     0.46     0.46    -0.30     0.30    15.02    15.05     1.22    -1.24     0.28     0.28    -0.01     0.00    32.72     0.00
    15.00     0.00   100.00     0.46     0.46    -0.30     0.30    15.05    15.02     1.24    -1.22     0.28     0.28    -0.00     0.01     0.00    32.72
    15.00     0.00  -100.00     0.46     0.45    -0.30     0.30    15.05    15.09     1.24    -1.26     0.28     0.28    -0.00    -0.00    -0.00   -32.73
    20.00   100.00     0.00     0.61     0.61    -0.55     0.55    20.12    20.07     1.36    -1.34     0.37     0.37     0.00    -0.00   -35.84     0.00
    20.00  -100.00     0.00     0.61     0.61    -0.55     0.55    20.03    20.07     1.32    -1.34     0.37     0.37    -0.00    -0.00    35.82     0.00
    20.00     0.00   100.00     0.61     0.61    -0.55     0.55    20.07    20.03     1.34    -1.32     0.37     0.37     0.00     0.00     0.00    35.82
    20.00     0.00  -100.00     0.61     0.61    -0.55     0.55    20.07    20.12     1.34    -1.36     0.37     0.37     0.00    -0.00    -0.00   -35.84
    25.00   100.00     0.00     0.76     0.76    -0.88     0.88    25.14    25.10     1.46    -1.45     0.47     0.47     0.01    -0.00   -38.95     0.00
    25.00  -100.00     0.00     0.76     0.76    -0.87     0.88    25.05    25.10     1.43    -1.45     0.47     0.47     0.00    -0.00    38.93    -0.00
    25.00     0.00   100.00     0.76     0.76    -0.88     0.87    25.10    25.05     1.45    -1.43     0.47     0.47     0.00    -0.00     0.00    38.93
    25.00     0.00  -100.00     0.76     0.76    -0.88     0.88    25.10    25.14     1.45    -1.46     0.47     0.47     0.00    -0.01     0.00   -38.95
    30.00   100.00     0.00     0.90     0.91    -1.28     1.28    30.17    30.12     1.58    -1.56     0.56     0.56     0.01    -0.01   -42.08     0.00
    30.00  -100.00     0.00     0.91     0.91    -1.27     1.28    30.07    30.12     1.54    -1.56     0.56     0.56     0.01    -0.01    42.05    -0.00
    30.00     0.00   100.00     0.91     0.91    -1.28     1.27    30.12    30.07     1.56    -1.54     0.56     0.56     0.01    -0.01     0.00    42.05
    30.00     0.00  -100.00     0.91     0.90    -1.28     1.28    30.12    30.17     1.56    -1.58     0.56     0.56     0.01    -0.01     0.00   -42.08
    35.00   100.00     0.00     1.05     1.06    -1.76     1.75    35.19    35.14     1.70    -1.69     0.66     0.66     0.02    -0.02   -45.23     0.00
    35.00  -100.00     0.00     1.06     1.06    -1.75     1.75    35.09    35.14     1.67    -1.69     0.66     0.66     0.02    -0.02    45.20     0.00
    35.00     0.00   100.00     1.06     1.06    -1.75     1.75    35.14    35.09     1.69    -1.67     0.66     0.66     0.02    -0.02     0.00    45.20
    35.00     0.00  -100.00     1.06     1.05    -1.75     1.76    35.14    35.19     1.69    -1.70     0.66     0.66     0.02    -0.02    -0.00   -45.23
    40.00   100.00     0.00     1.20     1.20    -2.31     2.30    40.22    40.17     1.84    -1.82     0.75     0.75     0.03    -0.03   -48.41     0.00
    40.00  -100.00     0.00     1.21     1.20    -2.30     2.30    40.11    40.17     1.80    -1.82     0.75     0.75     0.02    -0.03    48.37    -0.00
    40.00     0.00   100.00     1.20     1.21    -2.30     2.30    40.17    40.11     1.82    -1.80     0.75     0.75     0.03    -0.02     0.00    48.37
    40.00     0.00  -100.00     1.20     1.20    -2.30     2.31    40.17    40.22     1.82    -1.84     0.75     0.75     0.03    -0.03    -0.00   -48.41
    -5.00   100.00     0.00    -0.16    -0.15    -0.05     0.05    -4.99    -5.01     0.96    -0.94    -0.09    -0.09     0.01    -0.00   -20.30    -0.00
    -5.00  -100.00     0.00    -0.15    -0.15    -0.05     0.05    -5.04    -5.01     0.92    -0.94    -0.09    -0.09     0.00    -0.00    20.31     0.00
    -5.00     0.00   100.00    -0.15    -0.15    -0.05     0.05    -5.01    -5.04     0.94    -0.92    -0.09    -0.09     0.00    -0.00    -0.00    20.31
    -5.00     0.00  -100.00    -0.15    -0.16    -0.05     0.05    -5.01    -4.99     0.94    -0.96    -0.09    -0.09     0.00    -0.01    -0.00   -20.30
   -10.00   100.00     0.00    -0.32    -0.31    -0.18     0.18   -10.01   -10.03     0.90    -0.88    -0.18    -0.18     0.01    -0.01   -17.16    -0.00
   -10.00  -100.00     0.00    -0.31    -0.31    -0.18     0.18   -10.05   -10.03     0.87    -0.88    -0.18    -0.18     0.01    -0.01    17.18     0.00
