
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.02     0.00     0.00    -0.00     0.03     0.00     1.00    -1.00     0.10    -0.00    -0.01    -0.00   -31.91    -0.00
     0.00  -100.00     0.00     0.02     0.00    -0.00    -0.00    -0.03     0.00     1.00    -1.00    -0.10    -0.00     0.01    -0.00    32.00    -0.00
     0.00     0.00   100.00    -0.00    -0.02     0.00    -0.00    -0.00     0.03     1.00    -1.00    -0.00     0.10     0.00     0.01     0.00   -31.91
     0.00     0.00  -100.00     0.00     0.02    -0.00     0.00    -0.00    -0.03     1.00    -1.00    -0.00    -0.10    -0.00    -0.01     0.00    32.00
     5.00   100.00     0.00     0.13     0.15    -0.02     0.02     5.05     5.02     1.07    -1.07     0.19     0.09    -0.01     0.00   -32.17    -0.00
     5.00  -100.00     0.00     0.18     0.15    -0.02     0.02     4.98     5.02     1.07    -1.07    -0.01     0.09     0.01     0.00    32.27     0.00
     5.00     0.00   100.00     0.15     0.13    -0.02     0.02     5.02     5.05     1.07    -1.07     0.09     0.19    -0.00     0.01     0.00   -32.17
     5.00     0.00  -100.00     0.15     0.18    -0.02     0.02     5.02     4.98     1.07    -1.07     0.09    -0.01    -0.00    -0.01     0.00    32.27
    10.00   100.00     0.00     0.28     0.31    -0.12     0.12    10.07    10.03     1.15    -1.15     0.28     0.18    -0.01     0.00   -32.44     0.00
    10.00  -100.00     0.00     0.33     0.31    -0.12     0.12    10.00    10.03     1.15    -1.15     0.09     0.18     0.00     0.00    32.53     0.00
    10.00     0.00   100.00     0.31     0.28    -0.12     0.12    10.03    10.07     1.15    -1.15     0.18     0.28    -0.00     0.01     0.00   -32.44
    10.00     0.00  -100.00     0.31     0.33    -0.12     0.12    10.03    10.00     1.15    -1.15     0.18     0.09    -0.00    -0.00     0.00    32.53
    15.00   100.00     0.00     0.43     0.46    -0.30     0.30    15.09    15.05     1.24    -1.24     0.38     0.28    -0.01     0.00   -32.70     0.00
    15.00  -100.00     0.00     0.49     0.46    -0.30     0.30    15.02    15.05     1.24    -1.24     0.18     0.28     0.00     0.00    32.79     0.00
    15.00     0.00   100.00     0.46     0.43    -0.30     0.30    15.05    15.09     1.24    -1.24     0.28     0.38    -0.00     0.01     0.00   -32.70
    15.00     0.00  -100.00     0.46     0.49    -0.30     0.30    15.05    15.02     1.24    -1.24     0.28     0.18    -0.00    -0.00     0.00    32.79
    20.00   100.00     0.00     0.58     0.61    -0.55     0.55    20.11    20.07     1.34    -1.34     0.47     0.37    -0.00    -0.00   -32.95     0.00
    20.00  -100.00     0.00     0.64     0.61    -0.55     0.55    20.04    20.07     1.34    -1.34     0.27     0.37     0.00    -0.00    33.05     0.00
    20.00     0.00   100.00     0.61     0.58    -0.55     0.55    20.07    20.11     1.34    -1.34     0.37     0.47     0.00     0.00     0.00   -32.95
    20.00     0.00  -100.00     0.61     0.64    -0.55     0.55    20.07    20.04     1.34    -1.34     0.37     0.27     0.00    -0.00     0.00    33.05
    25.00   100.00     0.00     0.73     0.76    -0.88     0.88    25.13    25.10     1.45    -1.45     0.56     0.47     0.00    -0.00   -33.20     0.00
    25.00  -100.00     0.00     0.79     0.76    -0.87     0.88    25.06    25.10     1.45    -1.45     0.37     0.47     0.01    -0.00    33.29     0.00
    25.00     0.00   100.00     0.76     0.73    -0.88     0.88    25.10    25.13     1.45    -1.45     0.47     0.56     0.00    -0.00     0.00   -33.20
    25.00     0.00  -100.00     0.76     0.79    -0.88     0.87    25.10    25.06     1.45    -1.45     0.47     0.37     0.00    -0.01    -0.00    33.29
    30.00   100.00     0.00     0.88     0.91    -1.28     1.28    30.15    30.12     1.56    -1.56     0.66     0.56     0.01    -0.01   -33.44     0.00
    30.00  -100.00     0.00     0.94     0.91    -1.27     1.28    30.09    30.12     1.56    -1.56     0.46     0.56     0.01    -0.01    33.54     0.00
    30.00     0.00   100.00     0.91     0.88    -1.28     1.28    30.12    30.15     1.56    -1.56     0.56     0.66     0.01    -0.01     0.00   -33.44
    30.00     0.00  -100.00     0.91     0.94    -1.28     1.27    30.12    30.09     1.56    -1.56     0.56     0.46     0.01    -0.01    -0.00    33.54
    35.00   100.00     0.00     1.02     1.06    -1.76     1.75    35.18    35.14     1.69    -1.69     0.75     0.66     0.02    -0.02   -33.68     0.00
