
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.10     0.00     0.02    -0.00     0.00     0.00     1.00    -1.00    -0.01    -0.00     0.09    -0.00     0.61    -0.00
     0.00  -100.00     0.00     0.10     0.00    -0.02    -0.00    -0.00     0.00     1.00    -1.00     0.01    -0.00    -0.09    -0.00    -0.54    -0.00
     0.00     0.00   100.00    -0.00     0.10    -0.00     0.02    -0.00    -0.00     1.00    -1.00     0.00     0.01    -0.00     0.09    -0.00    -0.54
     0.00     0.00  -100.00     0.00    -0.10    -0.00    -0.02    -0.00     0.00     1.00    -1.00    -0.00    -0.01    -0.00    -0.09     0.00     0.61
     5.00   100.00     0.00     0.06     0.15    -0.00     0.02     5.02     5.02     1.07    -1.07     0.09     0.09     0.09     0.00    -0.04    -0.00
     5.00  -100.00     0.00     0.25     0.15    -0.04     0.02     5.02     5.02     1.07    -1.07     0.10     0.09    -0.09     0.00     0.08    -0.00
     5.00     0.00   100.00     0.15     0.25    -0.02     0.04     5.02     5.02     1.07    -1.07     0.09     0.10    -0.00     0.09    -0.00     0.08
     5.00     0.00  -100.00     0.15     0.06    -0.02     0.00     5.02     5.02     1.07    -1.07     0.09     0.09    -0.00    -0.09    -0.00    -0.04
    10.00   100.00     0.00     0.21     0.31    -0.10     0.12    10.04    10.03     1.15    -1.15     0.18     0.18     0.09     0.00    -0.69     0.00
    10.00  -100.00     0.00     0.41     0.31    -0.14     0.12    10.03    10.03     1.15    -1.15     0.19     0.18    -0.09     0.00     0.71     0.00
    10.00     0.00   100.00     0.31     0.41    -0.12     0.14    10.03    10.03     1.15    -1.15     0.18     0.19    -0.00     0.09    -0.00     0.71
    10.00     0.00  -100.00     0.31     0.21    -0.12     0.10    10.03    10.04     1.15    -1.15     0.18     0.18    -0.00    -0.09    -0.00    -0.69
    15.00   100.00     0.00     0.36     0.46    -0.28     0.30    15.06    15.05     1.24    -1.24     0.27     0.28     0.09     0.00    -1.36     0.00
    15.00  -100.00     0.00     0.56     0.46    -0.32     0.30    15.05    15.05     1.24    -1.24     0.28     0.28    -0.09     0.00     1.34     0.00
    15.00     0.00   100.00     0.46     0.56    -0.30     0.32    15.05    15.05     1.24    -1.24     0.28     0.28    -0.00     0.09     0.00     1.34
    15.00     0.00  -100.00     0.46     0.36    -0.30     0.28    15.05    15.06     1.24    -1.24     0.28     0.27    -0.00    -0.09     0.00    -1.36
    20.00   100.00     0.00     0.51     0.61    -0.53     0.55    20.08    20.07     1.34    -1.34     0.37     0.37     0.09    -0.00    -2.04     0.00
    20.00  -100.00     0.00     0.71     0.61    -0.57     0.55    20.07    20.07     1.34    -1.34     0.37     0.37    -0.09    -0.00     1.99     0.00
    20.00     0.00   100.00     0.61     0.71    -0.55     0.57    20.07    20.07     1.34    -1.34     0.37     0.37     0.00     0.09     0.00     1.99
    20.00     0.00  -100.00     0.61     0.51    -0.55     0.53    20.07    20.08     1.34    -1.34     0.37     0.37     0.00    -0.09     0.00    -2.04
    25.00   100.00     0.00     0.66     0.76    -0.85     0.88    25.10    25.10     1.45    -1.45     0.47     0.47     0.10    -0.00    -2.72     0.00
    25.00  -100.00     0.00     0.86     0.76    -0.90     0.88    25.09    25.10     1.44    -1.45     0.47     0.47    -0.09    -0.00     2.65    -0.00
    25.00     0.00   100.00     0.76     0.86    -0.88     0.90    25.10    25.09     1.45    -1.44     0.47     0.47     0.00     0.09     0.00     2.65
    25.00     0.00  -100.00     0.76     0.66    -0.88     0.85    25.10    25.10     1.45    -1.45     0.47     0.47     0.00    -0.10    -0.00    -2.72
    30.00   100.00     0.00     0.81     0.91    -1.26     1.28    30.12    30.12     1.56    -1.56     0.56     0.56     0.10    -0.01    -3.42     0.00
    30.00  -100.00     0.00     1.01     0.91    -1.30     1.28    30.11    30.12     1.56    -1.56     0.56     0.56    -0.08    -0.01     3.31     0.00
    30.00     0.00   100.00     0.91     1.01    -1.28     1.30    30.12    30.11     1.56    -1.56     0.56     0.56     0.01     0.08     0.00     3.31
    30.00     0.00  -100.00     0.91     0.81    -1.28     1.26    30.12    30.12     1.56    -1.56     0.56     0.56     0.01    -0.10    -0.00    -3.42
    35.00   100.00     0.00     0.96     1.06    -1.73     1.75    35.15    35.14     1.69    -1.69     0.66     0.66     0.11    -0.02    -4.12     0.00
    35.00  -100.00     0.00     1.16     1.06    -1.77     1.75    35.14    35.14     1.68    -1.69     0.65     0.66    -0.07    -0.02     3.99     0.00
    35.00     0.00   100.00     1.06     1.16    -1.75     1.77    35.14    35.14     1.69    -1.68     0.66     0.65     0.02     0.07     0.00     3.99
    35.00     0.00  -100.00     1.06     0.96    -1.75     1.73    35.14    35.15     1.69    -1.69     0.66     0.66     0.02    -0.11     0.00    -4.12
    40.00   100.00     0.00     1.10     1.20    -2.28     2.30    40.17    40.17     1.82    -1.82     0.76     0.75     0.12    -0.03    -4.82     0.00
    40.00  -100.00     0.00     1.31     1.20    -2.33     2.30    40.16    40.17     1.82    -1.82     0.75     0.75    -0.06    -0.03     4.67    -0.00
    40.00     0.00   100.00     1.20     1.31    -2.30     2.33    40.17    40.16     1.82    -1.82     0.75     0.75     0.03     0.06     0.00     4.67
    40.00     0.00  -100.00     1.20     1.10    -2.30     2.28    40.17    40.17     1.82    -1.82     0.75     0.76     0.03    -0.12     0.00    -4.82
    -5.00   100.00     0.00    -0.25    -0.15    -0.03     0.05    -5.02    -5.01     0.94    -0.94    -0.10    -0.09     0.09    -0.00     1.25    -0.00
    -5.00  -100.00     0.00    -0.06    -0.15    -0.07     0.05    -5.01    -5.01     0.93    -0.94    -0.08    -0.09    -0.09    -0.00    -1.14    -0.00
    -5.00     0.00   100.00    -0.15    -0.06    -0.05     0.07    -5.01    -5.01     0.94    -0.93    -0.09    -0.08     0.00     0.09    -0.00    -1.14
    -5.00     0.00  -100.00    -0.15    -0.25    -0.05     0.03    -5.01    -5.02     0.94    -0.94    -0.09    -0.10     0.00    -0.09     0.00     1.25
   -10.00   100.00     0.00    -0.41    -0.31    -0.16     0.18   -10.03   -10.03     0.89    -0.88    -0.19    -0.18     0.10    -0.01     1.87    -0.00
   -10.00  -100.00     0.00    -0.21    -0.31    -0.20     0.18   -10.03   -10.03     0.88    -0.88    -0.17    -0.18    -0.08    -0.01    -1.73     0.00
   -10.00     0.00   100.00    -0.31    -0.21    -0.18     0.20   -10.03   -10.03     0.88    -0.88    -0.18    -0.17     0.01     0.08    -0.00    -1.73
   -10.00     0.00  -100.00    -0.31    -0.41    -0.18     0.16   -10.03   -10.03     0.88    -0.89    -0.18    -0.19     0.01    -0.10     0.00     1.87
   -15.00   100.00     0.00    -0.56    -0.47    -0.37     0.39   -15.04   -15.04     0.84    -0.84    -0.28    -0.27     0.11    -0.02     2.48    -0.00
   -15.00  -100.00     0.00    -0.37    -0.47    -0.41     0.39   -15.04   -15.04     0.84    -0.84    -0.26    -0.27    -0.07    -0.02    -2.31     0.00
   -15.00     0.00   100.00    -0.47    -0.37    -0.39     0.41   -15.04   -15.04     0.84    -0.84    -0.27    -0.26     0.02     0.07    -0.00    -2.31
