
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.29    -0.00    -0.05     0.00     0.17    -0.00     1.01    -1.00     0.01    -0.00    -0.10    -0.00  -162.44     0.00
     0.00 -1000.00     0.00    -0.29    -0.00     0.05     0.00    -0.17    -0.00     0.99    -1.00    -0.01    -0.00     0.10    -0.00   162.89     0.00
     0.00     0.00  1000.00    -0.00     0.29    -0.00     0.05    -0.00     0.17     1.00    -1.01    -0.00     0.01     0.00     0.10     0.00  -162.44
     0.00     0.00 -1000.00    -0.00    -0.29     0.00    -0.05    -0.00    -0.17     1.00    -0.99    -0.00    -0.01     0.00    -0.10    -0.00   162.89
     5.00  1000.00     0.00     1.08     0.79     0.08    -0.13     5.19     5.02     1.13    -1.12    -0.01    -0.01    -0.39     0.29  -155.49     0.00
     5.00 -1000.00     0.00     0.51     0.79     0.18    -0.13     4.86     5.02     1.12    -1.12    -0.02    -0.01    -0.20     0.29   155.90     0.00
     5.00     0.00  1000.00     0.79     1.08     0.13    -0.08     5.02     5.19     1.12    -1.13    -0.01    -0.01    -0.29     0.39     0.00  -155.49
     5.00     0.00 -1000.00     0.79     0.51     0.13    -0.18     5.02     4.86     1.12    -1.12    -0.01    -0.02    -0.29     0.20     0.00   155.90
    10.00  1000.00     0.00     1.83     1.55     0.13    -0.18    10.20    10.05     1.26    -1.25    -0.02    -0.03    -0.68     0.58  -148.63     0.00
    10.00 -1000.00     0.00     1.27     1.55     0.23    -0.18     9.89    10.05     1.25    -1.25    -0.04    -0.03    -0.48     0.58   149.00    -0.00
    10.00     0.00  1000.00     1.55     1.83     0.18    -0.13    10.05    10.20     1.25    -1.26    -0.03    -0.02    -0.58     0.68     0.00  -148.63
    10.00     0.00 -1000.00     1.55     1.27     0.18    -0.23    10.05     9.89     1.25    -1.25    -0.03    -0.04    -0.58     0.48     0.00   149.00
    15.00  1000.00     0.00     2.56     2.28     0.11    -0.16    15.22    15.07     1.40    -1.39    -0.04    -0.05    -0.96     0.87  -141.86     0.00
    15.00 -1000.00     0.00     2.00     2.28     0.22    -0.16    14.93    15.07     1.39    -1.39    -0.06    -0.05    -0.77     0.87   142.19     0.00
    15.00     0.00  1000.00     2.28     2.56     0.16    -0.11    15.07    15.22     1.39    -1.40    -0.05    -0.04    -0.87     0.96     0.00  -141.86
    15.00     0.00 -1000.00     2.28     2.00     0.16    -0.22    15.07    14.93     1.39    -1.39    -0.05    -0.06    -0.87     0.77     0.00   142.19
    20.00  1000.00     0.00     3.25     2.97     0.01    -0.06    20.24    20.10     1.54    -1.53    -0.06    -0.07    -1.24     1.15  -135.16     0.00
    20.00 -1000.00     0.00     2.69     2.97     0.12    -0.06    19.96    20.10     1.53    -1.53    -0.08    -0.07    -1.06     1.15   135.46    -0.00
    20.00     0.00  1000.00     2.97     3.25     0.06    -0.01    20.10    20.24     1.53    -1.54    -0.07    -0.06    -1.15     1.24     0.00  -135.16
    20.00     0.00 -1000.00     2.97     2.69     0.06    -0.12    20.10    19.96     1.53    -1.53    -0.07    -0.08    -1.15     1.06     0.00   135.46
    25.00  1000.00     0.00     3.90     3.63    -0.17     0.11    25.26    25.13     1.69    -1.68    -0.09    -0.09    -1.53     1.43  -128.53     0.00
    25.00 -1000.00     0.00     3.35     3.63    -0.05     0.11    24.99    25.13     1.68    -1.68    -0.10    -0.09    -1.34     1.43   128.80     0.00
    25.00     0.00  1000.00     3.63     3.90    -0.11     0.17    25.13    25.26     1.68    -1.69    -0.09    -0.09    -1.43     1.53     0.00  -128.53
