
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.05    -0.00     0.05     0.00     0.03    -0.00     0.99    -1.00    -0.00    -0.00     0.01    -0.00   -33.57     0.00
     0.00 -1000.00     0.00     0.05    -0.00    -0.05     0.00    -0.03    -0.00     1.01    -1.00     0.00    -0.00    -0.01    -0.00    33.78     0.00
     0.00     0.00  1000.00    -0.00     0.05     0.00     0.05     0.00    -0.03     1.00    -1.01    -0.00     0.00     0.00     0.01    -0.00    33.78
     0.00     0.00 -1000.00    -0.00    -0.05     0.00    -0.05    -0.00     0.03     1.00    -0.99    -0.00    -0.00     0.00    -0.01     0.00   -33.57
     5.00  1000.00     0.00     0.74     0.79     0.18    -0.13     5.04     5.02     1.12    -1.12    -0.02    -0.01    -0.28     0.29   -18.30     0.00
     5.00 -1000.00     0.00     0.84     0.79     0.08    -0.13     5.01     5.02     1.13    -1.12    -0.01    -0.01    -0.30     0.29    18.41     0.00
     5.00     0.00  1000.00     0.79     0.84     0.13    -0.08     5.02     5.01     1.12    -1.13    -0.01    -0.01    -0.29     0.30    -0.00    18.41
     5.00     0.00 -1000.00     0.79     0.74     0.13    -0.18     5.02     5.04     1.12    -1.12    -0.01    -0.02    -0.29     0.28     0.00   -18.30
    10.00  1000.00     0.00     1.50     1.55     0.23    -0.18    10.05    10.05     1.25    -1.25    -0.03    -0.03    -0.57     0.58    -3.13     0.00
    10.00 -1000.00     0.00     1.60     1.55     0.14    -0.18    10.05    10.05     1.26    -1.25    -0.03    -0.03    -0.59     0.58     3.14    -0.00
    10.00     0.00  1000.00     1.55     1.60     0.18    -0.14    10.05    10.05     1.25    -1.26    -0.03    -0.03    -0.58     0.59    -0.00     3.14
    10.00     0.00 -1000.00     1.55     1.50     0.18    -0.23    10.05    10.05     1.25    -1.25    -0.03    -0.03    -0.58     0.57     0.00    -3.13
    15.00  1000.00     0.00     2.22     2.28     0.21    -0.16    15.06    15.07     1.39    -1.39    -0.05    -0.05    -0.85     0.87    11.95     0.00
    15.00 -1000.00     0.00     2.33     2.28     0.11    -0.16    15.09    15.07     1.40    -1.39    -0.05    -0.05    -0.88     0.87   -12.05     0.00
    15.00     0.00  1000.00     2.28     2.33     0.16    -0.11    15.07    15.09     1.39    -1.40    -0.05    -0.05    -0.87     0.88     0.00   -12.05
    15.00     0.00 -1000.00     2.28     2.22     0.16    -0.21    15.07    15.06     1.39    -1.39    -0.05    -0.05    -0.87     0.85    -0.00    11.95
    20.00  1000.00     0.00     2.91     2.97     0.11    -0.06    20.07    20.10     1.53    -1.53    -0.07    -0.07    -1.14     1.15    26.95     0.00
    20.00 -1000.00     0.00     3.03     2.97     0.02    -0.06    20.13    20.10     1.54    -1.53    -0.07    -0.07    -1.16     1.15   -27.15    -0.00
    20.00     0.00  1000.00     2.97     3.03     0.06    -0.02    20.10    20.13     1.53    -1.54    -0.07    -0.07    -1.15     1.16     0.00   -27.15
    20.00     0.00 -1000.00     2.97     2.91     0.06    -0.11    20.10    20.07     1.53    -1.53    -0.07    -0.07    -1.15     1.14     0.00    26.95
    25.00  1000.00     0.00     3.56     3.63    -0.06     0.11    25.08    25.13     1.68    -1.68    -0.09    -0.09    -1.42     1.43    41.89     0.00
    25.00 -1000.00     0.00     3.69     3.63    -0.16     0.11    25.17    25.13     1.69    -1.68    -0.09    -0.09    -1.45     1.43   -42.19     0.00
    25.00     0.00  1000.00     3.63     3.69    -0.11     0.16    25.13    25.17     1.68    -1.69    -0.09    -0.09    -1.43     1.45     0.00   -42.19
