
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -1.00     0.00    -0.00    -0.00    30.10    30.10     0.00   -39.01    31.61    11.00    64.91     8.03
     5.00    17.47    -1.12     1.13    -0.79     0.00    29.25    24.26     0.00   -39.44    31.63    11.08    64.96     8.10
    10.00    34.78    -1.25     2.15    -1.55     0.00    28.41    18.44     0.00   -39.88    31.64    11.18    65.01     8.18
    15.00    51.95    -1.39     3.06    -2.28     0.00    27.59    12.64     0.00   -40.34    31.65    11.27    65.06     8.26
    20.00    68.99    -1.53     3.87    -2.97     0.00    26.79     6.85     0.00   -40.82    31.66    11.38    65.13     8.34
    25.00    85.91    -1.68     4.58    -3.63     0.00    26.00     1.09     0.00   -41.31    31.67    11.48    65.20     8.43
    30.00   102.72    -1.84     5.17    -4.25    -0.00    25.24    -4.66     0.00   -41.83    31.68    11.60    65.28     8.52
    35.00   119.43    -2.00     5.67    -4.84     0.00    24.50   -10.38     0.00   -42.36    31.70    11.72    65.36     8.61
    40.00   136.06    -2.17     6.06    -5.40    -0.00    23.78   -16.08     0.00   -42.92    31.71    11.85    65.45     8.70
     0.00     0.00    -1.00     0.00    -0.00    -0.00    30.10    30.10     0.00   -39.01    31.61    11.00    64.91     8.03
    -5.00   -17.65    -0.88    -1.24     0.83     0.00    30.97    35.96     0.00   -38.60    31.60    10.92    64.88     7.96
   -10.00   -35.48    -0.77    -2.59     1.69     0.00    31.86    41.83     0.00   -38.20    31.59    10.85    64.86     7.89
   -15.00   -53.52    -0.66    -4.05     2.59     0.00    32.76    47.71     0.00   -37.82    31.58    10.78    64.84     7.82
   -20.00   -71.79    -0.56    -5.62     3.53     0.00    33.67    53.61     0.00   -37.45    31.58    10.72    64.84     7.76
   -25.00   -90.30    -0.47    -7.31     4.50     0.00    34.59    59.52     0.00   -37.09    31.57    10.67    64.84     7.71
   -30.00  -109.08    -0.38    -9.12     5.52     0.00    35.52    65.44     0.00   -36.74    31.56    10.62    64.86     7.65
   -35.00  -128.15    -0.30   -11.04     6.57     0.00    36.47    71.37     0.00   -36.40    31.55    10.58    64.89     7.60
   -40.00  -147.54    -0.23   -13.09     7.66     0.00    37.41    77.30     0.00   -36.08    31.54    10.55    64.94     7.55
