
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00    -0.00    30.10    30.10     0.00     0.00    -1.00    -1.00    -0.00     0.00     0.00    -0.00    -0.00
     0.00     5.00     9.01    29.63    27.14    -0.00    17.47    -1.00    -1.12    -0.25    -0.00     5.02     0.00    -0.00
     0.00    10.00    20.00    29.05    24.07    -0.00    34.78    -1.00    -1.25    -0.50    -0.00    10.05    -0.00     0.00
     0.00    15.00    33.72    28.33    20.86    -0.00    51.95    -1.00    -1.39    -0.75    -0.00    15.07    -0.00     0.00
     0.00    20.00    51.44    27.40    17.43    -0.00    68.99    -1.00    -1.53    -1.00    -0.00    20.10     0.00     0.00
     0.00    25.00    75.30    26.15    13.69    -0.00    85.91    -1.00    -1.68    -1.24    -0.00    25.13     0.00     0.00
     0.00    30.00   109.38    24.36     9.41    -0.00   102.72    -1.00    -1.84    -1.49    -0.00    30.15     0.00     0.00
     0.00    35.00   162.37    21.57     4.13    -0.00   119.43    -1.00    -2.00    -1.74    -0.00    35.18     0.00     0.00
     0.00    40.00   256.88    16.60    -3.33    -0.00   136.06    -1.00    -2.17    -1.99    -0.00    40.21     0.00     0.00
     0.00     0.00    -0.00    30.10    30.10     0.00     0.00    -1.00    -1.00    -0.00     0.00     0.00    -0.00    -0.00
     0.00    -5.00    -7.55    30.50    32.99    -0.00   -17.65    -1.00    -0.88     0.25    -0.00    -5.02     0.00    -0.00
     0.00   -10.00   -13.97    30.84    35.82    -0.00   -35.48    -1.00    -0.77     0.50    -0.00   -10.05     0.00    -0.00
     0.00   -15.00   -19.50    31.13    38.60    -0.00   -53.52    -1.00    -0.66     0.75    -0.00   -15.07     0.00    -0.00
     0.00   -20.00   -24.33    31.38    41.35    -0.00   -71.79    -1.00    -0.56     1.00    -0.00   -20.09    -0.00    -0.00
     0.00   -25.00   -28.57    31.60    44.07    -0.00   -90.30    -1.00    -0.47     1.25    -0.00   -25.11    -0.00    -0.00
     0.00   -30.00   -32.33    31.80    46.76    -0.00  -109.08    -1.00    -0.38     1.50    -0.00   -30.13     0.00    -0.00
     0.00   -35.00   -35.68    31.98    49.43    -0.00  -128.15    -1.00    -0.30     1.75    -0.00   -35.15    -0.00    -0.00
     0.00   -40.00   -38.67    32.14    52.08    -0.00  -147.54    -1.00    -0.23     2.01    -0.00   -40.16     0.00    -0.00
     5.00     0.00    -9.01    29.63    27.14    17.47    -0.00    -1.12    -1.00     0.25     5.02    -0.00    -0.00     0.00
     5.00     5.00    -0.00    29.25    24.26    17.47    17.47    -1.12    -1.12    -0.00     5.02     5.02     0.00    -0.00
     5.00    10.00    11.26    28.77    21.30    17.47    34.78    -1.12    -1.25    -0.25     5.02    10.05     0.00     0.00
     5.00    15.00    25.80    28.16    18.19    17.47    51.95    -1.12    -1.39    -0.50     5.02    15.07     0.00     0.00
     5.00    20.00    45.38    27.33    14.87    17.47    68.99    -1.12    -1.53    -0.75     5.02    20.10     0.00     0.00
     5.00    25.00    73.40    26.14    11.19    17.47    85.91    -1.12    -1.68    -0.99     5.02    25.13    -0.00     0.00
     5.00    30.00   117.11    24.29     6.85    17.47   102.72    -1.12    -1.84    -1.24     5.02    30.15     0.00     0.00
     5.00    35.00   195.60    20.97     1.04    17.47   119.43    -1.12    -2.00    -1.49     5.02    35.18    -0.00     0.00
     5.00    40.00   380.20    13.16    -9.26    17.47   136.06    -1.12    -2.17    -1.74     5.02    40.21    -0.00     0.00
     5.00     0.00    -9.01    29.63    27.14    17.47    -0.00    -1.12    -1.00     0.25     5.02    -0.00     0.00     0.00
     5.00    -5.00   -16.41    29.94    29.94    17.47   -17.65    -1.12    -0.88     0.50     5.02    -5.02     0.00    -0.00
