
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.01    -0.00    -0.01     0.00     0.06    -0.00     1.07    -1.00     0.05    -0.00    -0.01    -0.00   -42.21     0.00
     0.00  -100.00     0.00    -0.01    -0.00     0.01     0.00    -0.06    -0.00     0.93    -1.00    -0.05    -0.00     0.01    -0.00    42.57     0.00
     0.00     0.00   100.00    -0.00    -0.01     0.00    -0.01    -0.00    -0.06     1.00    -0.93    -0.00    -0.05     0.00    -0.01     0.00    42.57
     0.00     0.00  -100.00    -0.00     0.01     0.00     0.01    -0.00     0.06     1.00    -1.07    -0.00     0.05     0.00     0.01    -0.00   -42.21
     5.00   100.00     0.00     0.80     0.79     0.12    -0.13     5.08     5.02     1.19    -1.12     0.04    -0.01    -0.30     0.29   -44.33     0.00
     5.00  -100.00     0.00     0.79     0.79     0.14    -0.13     4.97     5.02     1.06    -1.12    -0.07    -0.01    -0.29     0.29    44.68     0.00
     5.00     0.00   100.00     0.79     0.79     0.13    -0.14     5.02     4.97     1.12    -1.06    -0.01    -0.07    -0.29     0.29     0.00    44.68
     5.00     0.00  -100.00     0.79     0.80     0.13    -0.12     5.02     5.08     1.12    -1.19    -0.01     0.04    -0.29     0.30    -0.00   -44.33
    10.00   100.00     0.00     1.56     1.55     0.17    -0.18    10.11    10.05     1.32    -1.25     0.02    -0.03    -0.58     0.58   -46.46     0.00
    10.00  -100.00     0.00     1.54     1.55     0.19    -0.18     9.99    10.05     1.19    -1.25    -0.08    -0.03    -0.58     0.58    46.80     0.00
    10.00     0.00   100.00     1.55     1.54     0.18    -0.19    10.05     9.99     1.25    -1.19    -0.03    -0.08    -0.58     0.58     0.00    46.80
    10.00     0.00  -100.00     1.55     1.56     0.18    -0.17    10.05    10.11     1.25    -1.32    -0.03     0.02    -0.58     0.58     0.00   -46.46
    15.00   100.00     0.00     2.28     2.28     0.15    -0.16    15.14    15.07     1.46    -1.39     0.00    -0.05    -0.87     0.87   -48.59     0.00
    15.00  -100.00     0.00     2.27     2.28     0.17    -0.16    15.01    15.07     1.32    -1.39    -0.10    -0.05    -0.86     0.87    48.92    -0.00
    15.00     0.00   100.00     2.28     2.27     0.16    -0.17    15.07    15.01     1.39    -1.32    -0.05    -0.10    -0.87     0.86     0.00    48.92
    15.00     0.00  -100.00     2.28     2.28     0.16    -0.15    15.07    15.14     1.39    -1.46    -0.05     0.00    -0.87     0.87     0.00   -48.59
    20.00   100.00     0.00     2.97     2.97     0.06    -0.06    20.16    20.10     1.60    -1.53    -0.02    -0.07    -1.15     1.15   -50.73     0.00
    20.00  -100.00     0.00     2.96     2.97     0.07    -0.06    20.04    20.10     1.47    -1.53    -0.12    -0.07    -1.15     1.15    51.05     0.00
    20.00     0.00   100.00     2.97     2.96     0.06    -0.07    20.10    20.04     1.53    -1.47    -0.07    -0.12    -1.15     1.15     0.00    51.05
    20.00     0.00  -100.00     2.97     2.97     0.06    -0.06    20.10    20.16     1.53    -1.60    -0.07    -0.02    -1.15     1.15     0.00   -50.73
    25.00   100.00     0.00     3.63     3.63    -0.12     0.11    25.19    25.13     1.75    -1.68    -0.04    -0.09    -1.43     1.43   -52.89     0.00
    25.00  -100.00     0.00     3.62     3.63    -0.10     0.11    25.06    25.13     1.62    -1.68    -0.14    -0.09    -1.43     1.43    53.19     0.00
    25.00     0.00   100.00     3.63     3.62    -0.11     0.10    25.13    25.06     1.68    -1.62    -0.09    -0.14    -1.43     1.43    -0.00    53.19
    25.00     0.00  -100.00     3.63     3.63    -0.11     0.12    25.13    25.19     1.68    -1.75    -0.09    -0.04    -1.43     1.43     0.00   -52.89
    30.00   100.00     0.00     4.26     4.25    -0.36     0.36    30.22    30.15     1.90    -1.84    -0.07    -0.12    -1.71     1.71   -55.06     0.00
    30.00  -100.00     0.00     4.24     4.25    -0.35     0.36    30.08    30.15     1.77    -1.84    -0.17    -0.12    -1.71     1.71    55.36     0.00
    30.00     0.00   100.00     4.25     4.24    -0.36     0.35    30.15    30.08     1.84    -1.77    -0.12    -0.17    -1.71     1.71    -0.00    55.36
    30.00     0.00  -100.00     4.25     4.26    -0.36     0.36    30.15    30.22     1.84    -1.90    -0.12    -0.07    -1.71     1.71     0.00   -55.06
    35.00   100.00     0.00     4.85     4.84    -0.69     0.68    35.25    35.18     2.06    -2.00    -0.09    -0.14    -1.99     1.99   -57.25     0.00
    35.00  -100.00     0.00     4.84     4.84    -0.67     0.68    35.11    35.18     1.94    -2.00    -0.20    -0.14    -1.99     1.99    57.54     0.00
    35.00     0.00   100.00     4.84     4.84    -0.68     0.67    35.18    35.11     2.00    -1.94    -0.14    -0.20    -1.99     1.99    -0.00    57.54
    35.00     0.00  -100.00     4.84     4.85    -0.68     0.69    35.18    35.25     2.00    -2.06    -0.14    -0.09    -1.99     1.99    -0.00   -57.25
    40.00   100.00     0.00     5.41     5.40    -1.08     1.07    40.28    40.21     2.23    -2.17    -0.12    -0.17    -2.27     2.27   -59.46     0.00
    40.00  -100.00     0.00     5.40     5.40    -1.06     1.07    40.13    40.21     2.10    -2.17    -0.22    -0.17    -2.27     2.27    59.74    -0.00
    40.00     0.00   100.00     5.40     5.40    -1.07     1.06    40.21    40.13     2.17    -2.10    -0.17    -0.22    -2.27     2.27    -0.00    59.74
    40.00     0.00  -100.00     5.40     5.41    -1.07     1.08    40.21    40.28     2.17    -2.23    -0.17    -0.12    -2.27     2.27     0.00   -59.46
