
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.02    -0.00    -0.00     0.00     0.01    -0.00     1.05    -1.00     0.09    -0.00    -0.01    -0.00     4.55     0.00
     0.00  -100.00     0.00    -0.02    -0.00     0.00     0.00    -0.01    -0.00     0.95    -1.00    -0.09    -0.00     0.01    -0.00    -4.57     0.00
     0.00     0.00   100.00    -0.00     0.02     0.00     0.00     0.00     0.01     1.00    -1.05    -0.00     0.09     0.00     0.01    -0.00     4.55
     0.00     0.00  -100.00    -0.00    -0.02     0.00    -0.00    -0.00    -0.01     1.00    -0.95    -0.00    -0.09     0.00    -0.01     0.00    -4.57
     5.00   100.00     0.00     0.81     0.79     0.13    -0.13     5.03     5.02     1.17    -1.12     0.07    -0.01    -0.30     0.29     5.62     0.00
     5.00  -100.00     0.00     0.78     0.79     0.13    -0.13     5.02     5.02     1.07    -1.12    -0.10    -0.01    -0.28     0.29    -5.64     0.00
     5.00     0.00   100.00     0.79     0.81     0.13    -0.13     5.02     5.03     1.12    -1.17    -0.01     0.07    -0.29     0.30    -0.00     5.62
     5.00     0.00  -100.00     0.79     0.78     0.13    -0.13     5.02     5.02     1.12    -1.07    -0.01    -0.10    -0.29     0.28     0.00    -5.64
    10.00   100.00     0.00     1.57     1.55     0.18    -0.18    10.05    10.05     1.30    -1.25     0.06    -0.03    -0.59     0.58     6.66     0.00
    10.00  -100.00     0.00     1.54     1.55     0.19    -0.18    10.05    10.05     1.20    -1.25    -0.12    -0.03    -0.57     0.58    -6.68     0.00
    10.00     0.00   100.00     1.55     1.57     0.18    -0.18    10.05    10.05     1.25    -1.30    -0.03     0.06    -0.58     0.59    -0.00     6.66
    10.00     0.00  -100.00     1.55     1.54     0.18    -0.19    10.05    10.05     1.25    -1.20    -0.03    -0.12    -0.58     0.57    -0.00    -6.68
    15.00   100.00     0.00     2.29     2.28     0.16    -0.16    15.08    15.07     1.44    -1.39     0.04    -0.05    -0.87     0.87     7.67     0.00
    15.00  -100.00     0.00     2.26     2.28     0.16    -0.16    15.07    15.07     1.34    -1.39    -0.14    -0.05    -0.86     0.87    -7.69    -0.00
    15.00     0.00   100.00     2.28     2.29     0.16    -0.16    15.07    15.08     1.39    -1.44    -0.05     0.04    -0.87     0.87    -0.00     7.67
    15.00     0.00  -100.00     2.28     2.26     0.16    -0.16    15.07    15.07     1.39    -1.34    -0.05    -0.14    -0.87     0.86     0.00    -7.69
    20.00   100.00     0.00     2.98     2.97     0.06    -0.06    20.10    20.10     1.58    -1.53     0.02    -0.07    -1.16     1.15     8.66     0.00
    20.00  -100.00     0.00     2.96     2.97     0.07    -0.06    20.10    20.10     1.48    -1.53    -0.16    -0.07    -1.14     1.15    -8.67     0.00
    20.00     0.00   100.00     2.97     2.98     0.06    -0.06    20.10    20.10     1.53    -1.58    -0.07     0.02    -1.15     1.16    -0.00     8.66
    20.00     0.00  -100.00     2.97     2.96     0.06    -0.07    20.10    20.10     1.53    -1.48    -0.07    -0.16    -1.15     1.14    -0.00    -8.67
    25.00   100.00     0.00     3.64     3.63    -0.11     0.11    25.12    25.13     1.73    -1.68    -0.01    -0.09    -1.44     1.43     9.62     0.00
    25.00  -100.00     0.00     3.62     3.63    -0.11     0.11    25.13    25.13     1.63    -1.68    -0.18    -0.09    -1.43     1.43    -9.63     0.00
    25.00     0.00   100.00     3.63     3.64    -0.11     0.11    25.13    25.12     1.68    -1.73    -0.09    -0.01    -1.43     1.44    -0.00     9.62
    25.00     0.00  -100.00     3.63     3.62    -0.11     0.11    25.13    25.13     1.68    -1.63    -0.09    -0.18    -1.43     1.43     0.00    -9.63
    30.00   100.00     0.00     4.26     4.25    -0.36     0.36    30.15    30.15     1.88    -1.84    -0.03    -0.12    -1.72     1.71    10.57     0.00
    30.00  -100.00     0.00     4.24     4.25    -0.35     0.36    30.15    30.15     1.79    -1.84    -0.20    -0.12    -1.71     1.71   -10.57     0.00
    30.00     0.00   100.00     4.25     4.26    -0.36     0.36    30.15    30.15     1.84    -1.88    -0.12    -0.03    -1.71     1.72    -0.00    10.57
    30.00     0.00  -100.00     4.25     4.24    -0.36     0.35    30.15    30.15     1.84    -1.79    -0.12    -0.20    -1.71     1.71    -0.00   -10.57
    35.00   100.00     0.00     4.85     4.84    -0.68     0.68    35.17    35.18     2.05    -2.00    -0.06    -0.14    -1.99     1.99    11.49     0.00
    35.00  -100.00     0.00     4.83     4.84    -0.68     0.68    35.18    35.18     1.95    -2.00    -0.23    -0.14    -1.99     1.99   -11.50     0.00
    35.00     0.00   100.00     4.84     4.85    -0.68     0.68    35.18    35.17     2.00    -2.05    -0.14    -0.06    -1.99     1.99    -0.00    11.49
    35.00     0.00  -100.00     4.84     4.83    -0.68     0.68    35.18    35.18     2.00    -1.95    -0.14    -0.23    -1.99     1.99    -0.00   -11.50
    40.00   100.00     0.00     5.41     5.40    -1.07     1.07    40.20    40.21     2.21    -2.17    -0.09    -0.17    -2.27     2.27    12.40     0.00
    40.00  -100.00     0.00     5.39     5.40    -1.07     1.07    40.21    40.21     2.12    -2.17    -0.26    -0.17    -2.27     2.27   -12.40     0.00
    40.00     0.00   100.00     5.40     5.41    -1.07     1.07    40.21    40.20     2.17    -2.21    -0.17    -0.09    -2.27     2.27    -0.00    12.40
