
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.17    -0.00     0.01     0.00    -0.11    -0.00     0.99    -1.00    -0.01    -0.00     0.08    -0.00   102.62     0.00
     0.00  -100.00     0.00     0.17    -0.00    -0.01     0.00     0.11    -0.00     1.01    -1.00     0.01    -0.00    -0.08    -0.00  -102.47     0.00
     0.00     0.00   100.00     0.00     0.17    -0.00     0.01     0.00     0.11     1.00    -1.01     0.00     0.01    -0.00     0.08     0.00  -102.47
     0.00     0.00  -100.00    -0.00    -0.17     0.00    -0.01    -0.00    -0.11     1.00    -0.99    -0.00    -0.01     0.00    -0.08    -0.00   102.62
     5.00   100.00     0.00     0.63     0.79     0.14    -0.13     4.92     5.02     1.12    -1.12    -0.02    -0.01    -0.22     0.29   101.67     0.00
     5.00  -100.00     0.00     0.96     0.79     0.11    -0.13     5.13     5.02     1.13    -1.12    -0.00    -0.01    -0.37     0.29  -101.55     0.00
     5.00     0.00   100.00     0.79     0.96     0.13    -0.11     5.02     5.13     1.12    -1.13    -0.01    -0.00    -0.29     0.37     0.00  -101.55
     5.00     0.00  -100.00     0.79     0.63     0.13    -0.14     5.02     4.92     1.12    -1.12    -0.01    -0.02    -0.29     0.22    -0.00   101.67
    10.00   100.00     0.00     1.39     1.55     0.20    -0.18     9.94    10.05     1.25    -1.25    -0.04    -0.03    -0.51     0.58   100.81     0.00
    10.00  -100.00     0.00     1.72     1.55     0.17    -0.18    10.15    10.05     1.26    -1.25    -0.02    -0.03    -0.65     0.58  -100.72     0.00
    10.00     0.00   100.00     1.55     1.72     0.18    -0.17    10.05    10.15     1.25    -1.26    -0.03    -0.02    -0.58     0.65     0.00  -100.72
    10.00     0.00  -100.00     1.55     1.39     0.18    -0.20    10.05     9.94     1.25    -1.25    -0.03    -0.04    -0.58     0.51     0.00   100.81
    15.00   100.00     0.00     2.11     2.28     0.18    -0.16    14.97    15.07     1.39    -1.39    -0.06    -0.05    -0.79     0.87   100.03     0.00
    15.00  -100.00     0.00     2.44     2.28     0.14    -0.16    15.18    15.07     1.39    -1.39    -0.04    -0.05    -0.94     0.87   -99.97     0.00
    15.00     0.00   100.00     2.28     2.44     0.16    -0.14    15.07    15.18     1.39    -1.39    -0.05    -0.04    -0.87     0.94     0.00   -99.97
    15.00     0.00  -100.00     2.28     2.11     0.16    -0.18    15.07    14.97     1.39    -1.39    -0.05    -0.06    -0.87     0.79     0.00   100.03
    20.00   100.00     0.00     2.80     2.97     0.08    -0.06    20.00    20.10     1.53    -1.53    -0.08    -0.07    -1.08     1.15    99.32     0.00
    20.00  -100.00     0.00     3.13     2.97     0.04    -0.06    20.20    20.10     1.54    -1.53    -0.07    -0.07    -1.22     1.15   -99.29     0.00
    20.00     0.00   100.00     2.97     3.13     0.06    -0.04    20.10    20.20     1.53    -1.54    -0.07    -0.07    -1.15     1.22    -0.00   -99.29
    20.00     0.00  -100.00     2.97     2.80     0.06    -0.08    20.10    20.00     1.53    -1.53    -0.07    -0.08    -1.15     1.08     0.00    99.32
    25.00   100.00     0.00     3.46     3.63    -0.09     0.11    25.02    25.13     1.68    -1.68    -0.10    -0.09    -1.36     1.43    98.69     0.00
    25.00  -100.00     0.00     3.79     3.63    -0.13     0.11    25.23    25.13     1.68    -1.68    -0.09    -0.09    -1.51     1.43   -98.69     0.00
    25.00     0.00   100.00     3.63     3.79    -0.11     0.13    25.13    25.23     1.68    -1.68    -0.09    -0.09    -1.43     1.51    -0.00   -98.69
    25.00     0.00  -100.00     3.63     3.46    -0.11     0.09    25.13    25.02     1.68    -1.68    -0.09    -0.10    -1.43     1.36     0.00    98.69
    30.00   100.00     0.00     4.09     4.25    -0.33     0.36    30.05    30.15     1.84    -1.84    -0.12    -0.12    -1.64     1.71    98.13     0.00
    30.00  -100.00     0.00     4.41     4.25    -0.38     0.36    30.25    30.15     1.84    -1.84    -0.12    -0.12    -1.79     1.71   -98.16     0.00
    30.00     0.00   100.00     4.25     4.41    -0.36     0.38    30.15    30.25     1.84    -1.84    -0.12    -0.12    -1.71     1.79    -0.00   -98.16
    30.00     0.00  -100.00     4.25     4.09    -0.36     0.33    30.15    30.05     1.84    -1.84    -0.12    -0.12    -1.71     1.64     0.00    98.13
